ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, fp_sp_simd_ins, 8, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 8, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 8, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 8, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 8, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 8, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 9, Accumulator, 1244723355, 0, 468, 468, 468, 1, 1
A0, write_requests, 9, Accumulator, 1244723355, 0, 145, 145, 145, 1, 1
A0, read_request_sizes, 9, Accumulator, 1244723355, 0, 4211, 52035, 468, 1, 16
A0, write_request_sizes, 9, Accumulator, 1244723355, 0, 1828, 25648, 145, 4, 16
A0, split_read_requests, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 9, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 9, Accumulator, 1244723355, 0, 1996, 1996, 1996, 1, 1
A0, instruction_count, 9, Accumulator, 1244723355, 0, 2609, 2609, 2609, 1, 1
A0, cycles, 9, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 9, Accumulator, 1244723355, 0, 4060, 4060, 4060, 1, 1
A0, fp_sp_ins, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 9, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 9, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 9, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 9, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 9, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 10, Accumulator, 1244723355, 0, 478, 478, 478, 1, 1
A0, write_requests, 10, Accumulator, 1244723355, 0, 145, 145, 145, 1, 1
A0, read_request_sizes, 10, Accumulator, 1244723355, 0, 4251, 52195, 478, 1, 16
A0, write_request_sizes, 10, Accumulator, 1244723355, 0, 1828, 25648, 145, 4, 16
A0, split_read_requests, 10, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 10, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 10, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 10, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 10, Accumulator, 1244723355, 0, 2056, 2056, 2056, 1, 1
A0, instruction_count, 10, Accumulator, 1244723355, 0, 2679, 2679, 2679, 1, 1
A0, cycles, 10, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 10, Accumulator, 1244723355, 0, 3847, 3847, 3847, 1, 1
A0, fp_sp_ins, 10, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 10, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 10, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 10, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 10, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 10, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 10, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 10, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 11, Accumulator, 1244723355, 0, 390, 390, 390, 1, 1
A0, write_requests, 11, Accumulator, 1244723355, 0, 145, 145, 145, 1, 1
A0, read_request_sizes, 11, Accumulator, 1244723355, 0, 3899, 50787, 390, 1, 16
A0, write_request_sizes, 11, Accumulator, 1244723355, 0, 1828, 25648, 145, 4, 16
A0, split_read_requests, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 11, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 11, Accumulator, 1244723355, 0, 1525, 1525, 1525, 1, 1
A0, instruction_count, 11, Accumulator, 1244723355, 0, 2060, 2060, 2060, 1, 1
A0, cycles, 11, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 11, Accumulator, 1244723355, 0, 3992, 3992, 3992, 1, 1
A0, fp_sp_ins, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 11, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 11, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 11, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 11, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 11, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
rtr.0, send_bit_count, port0, Accumulator, 1244723355, 0, 1186752, 589688832, 4607, 64, 576
rtr.0, send_packet_count, port0, Accumulator, 1244723355, 0, 4607, 4607, 4607, 1, 1
rtr.0, output_port_stalls, port0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.0, idle_time, port0, Accumulator, 1244723355, 0, 1240821226, 14136422205332166, 3709, 847, 46718085
rtr.0, width_adj_count, port0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.0, send_bit_count, port1, Accumulator, 1244723355, 0, 757632, 315678720, 4590, 64, 576
rtr.0, send_packet_count, port1, Accumulator, 1244723355, 0, 4590, 4590, 4590, 1, 1
rtr.0, output_port_stalls, port1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.0, idle_time, port1, Accumulator, 1244723355, 0, 1240835625, 12919483540699349, 3743, 847, 46770599
rtr.0, width_adj_count, port1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.0, send_bit_count, port2, Accumulator, 1244723355, 0, 2709120, 1529978880, 5530, 64, 576
rtr.0, send_packet_count, port2, Accumulator, 1244723355, 0, 5530, 5530, 5530, 1, 1
rtr.0, output_port_stalls, port2, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.0, idle_time, port2, Accumulator, 1244723355, 0, 1240039445, 10853522066520499, 4716, 1182, 46704533
rtr.0, width_adj_count, port2, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.0, xbar_stalls, port0, Accumulator, 1244723355, 0, 137, 137, 137, 1, 1
rtr.0, xbar_stalls, port1, Accumulator, 1244723355, 0, 141, 141, 141, 1, 1
rtr.0, xbar_stalls, port2, Accumulator, 1244723355, 0, 93, 93, 93, 1, 1
rtr.1, send_bit_count, port0, Accumulator, 1244723355, 0, 1135296, 557494272, 4587, 64, 576
rtr.1, send_packet_count, port0, Accumulator, 1244723355, 0, 4587, 4587, 4587, 1, 1
rtr.1, output_port_stalls, port0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.1, idle_time, port0, Accumulator, 1244723355, 0, 1240838166, 14136891237916254, 3615, 847, 46716391
rtr.1, width_adj_count, port0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.1, send_bit_count, port1, Accumulator, 1244723355, 0, 1648768, 893526016, 4386, 64, 576
rtr.1, send_packet_count, port1, Accumulator, 1244723355, 0, 4386, 4386, 4386, 1, 1
rtr.1, output_port_stalls, port1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.1, idle_time, port1, Accumulator, 1244723355, 0, 1241008413, 14681870252754667, 3711, 847, 46706227
rtr.1, width_adj_count, port1, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.1, send_bit_count, port2, Accumulator, 1244723355, 0, 122496, 68886528, 258, 64, 576
rtr.1, send_packet_count, port2, Accumulator, 1244723355, 0, 258, 258, 258, 1, 1
rtr.1, output_port_stalls, port2, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.1, idle_time, port2, Accumulator, 1244723355, 0, 1244504829, 1184455097283301347, 210, 1300, 1083217289
rtr.1, width_adj_count, port2, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.1, xbar_stalls, port0, Accumulator, 1244723355, 0, 20, 20, 20, 1, 1
rtr.1, xbar_stalls, port1, Accumulator, 1244723355, 0, 16, 16, 16, 1, 1
rtr.1, xbar_stalls, port2, Accumulator, 1244723355, 0, 17, 17, 17, 1, 1
rtr.2, send_bit_count, port0, Accumulator, 1244723355, 0, 1090304, 529252352, 4572, 64, 576
rtr.2, send_packet_count, port0, Accumulator, 1244723355, 0, 4572, 4572, 4572, 1, 1
rtr.2, output_port_stalls, port0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.2, idle_time, port0, Accumulator, 1244723355, 0, 1240850871, 14139244552920235, 3565, 847, 46714697
rtr.2, width_adj_count, port0, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
rtr.2, send_bit_count, port1, Accumulator, 1244723355, 0, 1685888, 918020096, 4366, 64, 576
rtr.2, send_packet_count, port1, Accumulator, 1244723355, 0, 4366, 4366, 4366, 1, 1
